,Topic,Count,Name,CustomName,Representation,Representative_Docs
10,9,52,9_return_it_return it_wish could,will return,"['return', 'it', 'return it', 'wish could', 'wish', 'this', 'could return', 'and', 'the trash', 'different']","['Very disappointed in this and wish I could return it.', 'I wish I could return it or exchange it for a different model.', 'I wish I could return it!!']"
11,10,49,10_scan_scanning_to scan_page,scanner,"['scan', 'scanning', 'to scan', 'page', 'sided', 'you', 'document', 'scanner', 'to', 'do']","['The duplex function is useless: When trying to use the scanner to reproduce a document with double sided print, it will scan both sides but the copies or scans it produces are single sided.... why?', 'Main pain point is the double sided scanning, which you do have to manually flip over each page just to scan both sides.', ""Scanning is one-page-at-a-time so if you have a three page document you want to scan, you have to scan individual pages and you'll end up with 3 docs on your computer:  Page 1, Page 2 & Page 3.""]"
12,11,47,11_buy_would_price_recommend,price,"['buy', 'would', 'price', 'recommend', 'buy it', 'would not', 'again', 'money', 'purchase', 'definitely buy']","['Would definitely buy again.', 'Would definitely buy again.', 'Can anyone tell me what this is and where to buy it, hopefully on Amason.Thanks in advance for your help.']"
13,12,44,12_free_free ink_ink_months,free ink,"['free', 'free ink', 'ink', 'months', 'months free', 'the', 'the free', 'months of', 'six', 'of']","['But it is advertizing 6 months of free ink when in reality the Instant Ink sheet that came with the printer only shows 3 months.', 'The 6 months free ink is NOT AUTOMATIC...you must request it but this is not evident until you get a message from HP showing you have two months free ink.', 'FREE ink for 6 months?']"
14,13,30,13_have tried_uninstalling_tried_troubleshooting,uninstalling,"['have tried', 'uninstalling', 'tried', 'troubleshooting', 'to', 'uninstalling and', 'tried uninstalling', 'and reinstalling', 'uninstall', 'uninstall and']","['However it keeps going off line  I guess its a setting I need to change and do notknow how to do it so have to set aside the time to let tech support log int my computer to change it for me.', 'I have tried uninstalling and reinstalling and still does not work.', 'I have tried uninstalling and reinstalling drivers to no avail.']"
15,14,27,14_8015e_8010e_8010_series,8015,"['8015e', '8010e', '8010', 'series', 'bought', 'the', 'model', 'the 8010', '8015', 'is the']","['This is the 3rd one I have bought (8010, 8020, and this one is the 8015e).', ""It's a SERIES issue considering the main marketing focus for your product HP 8010e Series is THE WIFI PRINTING.Now, I bought this for scanning."", ""I follow the directions, my computer would not recognize the printer.My wife called customer service, her computer would not recognize the printer.My wife finally got the PIN to show up has required, so I tried to print; my printer could not find my 8015e, but it accepted the 8010.However, after installing the 8010 hardware, the printer reads as offline even though it's on.Obviously it's being returned.In summation, caveat emptor, this product is entirely problematic.""]"
16,15,22,15_not worth_waste_waste of_worth,waste,"['not worth', 'waste', 'waste of', 'worth', 'garbage', 'worth the', 'time', 'piece of', 'and time', 'is absolute']","['Definitely not worth the time I have wasted on it.', 'Huge waste of ink and time.', 'A complete waste of money and time.']"
17,16,22,16_scan_to_hp smart_smart,smart,"['scan', 'to', 'hp smart', 'smart', 'to scan', 'scanning', 'the hp', 'hp', 'software', 'you']","[""The printer DOES NOT recognize my laptop when attempting to scan from the hardware and the HP Smart app either takes forever to (literal hours per day) to be able to print a PDF doc type ONLY or cannot access the printer's print or scan functions whatsoever."", 'Unlike my prior HP (8610) which allowed me to select scan on the touch screen to scan and save document to a local drive, this model (8015) requires you to open the HP application on your Mac in order to scan and save.', ""If you try to use the control panel on the printer to scan things it will tell you that you have to have an HP smart account, but you can still scan from the computer printer icon.Other than HP's insistence on trying to get you to create an account on their app to use a printer, the printer itself works very well.""]"
18,17,21,17_saturday_the agent_agent_shipping,shipping,"['saturday', 'the agent', 'agent', 'shipping', 'amazon', 'day', 'was', 'received', 'packaged', 'on time']","[""But sorry, most times auto shipping of things charges your account sooner than necessary and I don't want that (e.g."", 'I reminded the agent that it was to be packaged in another box because otherwise the product would be exposed.', 'I received a refund, which of course Amazon said that if they refund the money to your Amazon account (instead of your bank card), you get it quickly.']"
19,18,20,18_but six_fixed my_geesh wow_geesh,*surprise,"['but six', 'fixed my', 'geesh wow', 'geesh', 'gosh', 'gosh unbelievable', 'not twice', 'my gosh', 'returning wth', 'unbelievable']","['My gosh!', 'but SIX times!', 'This fixed my life!']"
20,19,20,19_disappointed_am so_am_surprise,disappointed ,"['disappointed', 'am so', 'am', 'surprise', 'im', 'wrong', 'done', 'this', 'actually it', 'losses im']","['I am SO done with this POS.', 'I am so disappointed.', 'I am so upset and disappointed.']"
21,20,20,20_pages_print_pages in_dont print,pages,"['pages', 'print', 'pages in', 'dont print', 'color', 'printed', 'dont', '200 pages', 'only printed', 'lot of']","['I print 100 to 200 pages a month, which makes this perfect for me.', ""HP suggests you can print 315 pages with their standard color cartridges but I've only printed 58 color pages so far."", 'Making a quilt and using coloring books I went through a lot of paper, resizing and messing up as, for me, problems in learning how to work it, not like old one.So, I used over 200 pages in that month and next month probably the same.']"
22,21,20,21_screen_touch screen_touch_the touch,touch screen,"['screen', 'touch screen', 'touch', 'the touch', 'screen is', 'larger', 'like the', 'display', 'the', 'big']","['The touch screen is adequate but it would be nicer if the icons were larger and in color.', 'The touch screen is clumsy as well, hard to scroll down to more options on the screen without selecting the wrong thing.', 'The touch screen is nice .']"
23,22,19,22_works_it_worked_it works,works great,"['works', 'it', 'worked', 'it works', 'works great', 'but', 'it worked', 'and', 'when', 'up']","['This is not the greatest printer I have ever had, but it was inexpensive, and after difficulties setting it up (which required a call for technical help from HP), it works.', 'But what I mean by works great when it works, because when my printer goes into sleep mode it take a while to get it to pick up when I want to print.', 'worked well for 3 months than when I got new ink it still worked but one day it decided the ink was not original and stopped working  with no warning .looses the WIFI and I had to set it up all over again .']"
24,23,19,23_brand_better_different brand_chosen,other brands,"['brand', 'better', 'different brand', 'chosen', 'have chosen', 'one from', 'better quality', 'for better', 'quality', 'from amazon']","['This one from amazon on the other hand has been nothing but a constant let down.', 'Bought this one from Amazon because not only was it a great price but it also has features that I liked.', 'Some of these models may perform well and others do not perform, hold up or meet consumer expectations.']"
25,24,19,24_frustrating_very frustrating_very_experience,frustrating ,"['frustrating', 'very frustrating', 'very', 'experience', 'so frustrating', 'me very', 'all around', 'pain', 'around', 'be very']","['This is very frustrating to me.', 'All around a very frustrating experience.', 'Very frustrating.']"
26,25,18,25_recommend this_do not_not buy_not recommend,not recommend,"['recommend this', 'do not', 'not buy', 'not recommend', 'recommend', 'printer do', 'this printer', 'buy', 'this', 'buy this']","['I do not recommend this printer.', 'I DO NOT RECOMMEND THIS PRINTER', 'I do not recommend this printer.']"
27,26,18,26_fax_receive_to fax_but occasionally,fax,"['fax', 'receive', 'to fax', 'but occasionally', 'key features', 'faxes', 'receive fax', 'receive faxes', 'send and', 'scan fax']","['When a printer is sold as a fax on its capabilities it should be able to fax as my past multi-function printers', ""I couldn't not receive fax but couldn't receive fax."", 'Key features (scan & fax) we’re locked out by “installer”…which translates to “the factory”Have set up countless printers in my years, but this one was the most frustrating, not because of complex processes, but because of limitations on what the printer would/could do.']"
28,27,17,27_flimsy_sturdy_known_very flimsy,flimsy/sturdy,"['flimsy', 'sturdy', 'known', 'very flimsy', 'parts', 'very', 'to be', 'be', 'overall', 'pretty']","[""The parts are flimsy, don't fit well, and overall, the lack of quality is appalling."", 'If I had known it was going to be so flimsy, I would have paid more for a different brand.', 'I accidentally dropped onto a wooden floor from about 4ft and it just bounced, no parts fell off or cracked.']"
29,28,17,28_stars_star_give_stars is,give stars,"['stars', 'star', 'give', 'stars is', 'three stars', 'rate', 'stars for', 'rating', 'star rating', 'it stars']","['I had to rate this 1 star but would rate is NO STARS if that was an option.', 'Quality of the printing, I would give it 6 stars over just 5 stars.', ""The only reason I didn't give 5 stars is because the print speed is a bit on the slow side, but that may be associated with the quiet mode setting I use.""]"
30,29,16,29_jam_jams_paper jam_paper,jams,"['jam', 'jams', 'paper jam', 'paper', 'jammed', 'time', 'over', 'and over', 'over and', 'single time']","['I cleared the jams ever single time.. and the next sheet would jam.', 'However, immediately got a paper jam & corner was still folding on what sheets did make it out.', 'Every single time.. paper jam, ""please check printer and remove jam"" over and over and over..']"
31,30,15,30_home_home office_office_my home,at home,"['home', 'home office', 'office', 'my home', 'quiet', 'office quiet', 'everything need', 'home use', 'for home', 'for']","['It does everything I need in my small home office area.', 'I work @ home so it’s a great addition to my «\xa0home office !', 'I added it to my home office.']"
32,31,15,31_issues_problems_but issues_nothing,lot of issues,"['issues', 'problems', 'but issues', 'nothing', 'had', 'issues with', 'no', 'nothing but', 'no issues', 'reviews']","['Nothing but issues from day one.', 'Most of the problems stem from the fact that it has no panel (never again).', 'Read the reviews about problems others had, but had no problems at all.']"
33,32,14,32_print from_phone_my phone_from,print with phone,"['print from', 'phone', 'my phone', 'from', 'print', 'from my', 'my', 'cool', 'phones', 'to print']","['I thought it was cool to be able to print from my phone.', 'Can print from the computer and HP Smart on my phone.', 'I can only print from my phone.']"
34,33,13,33_headaches_cost_money_also save,headaches,"['headaches', 'cost', 'money', 'also save', 'benefit for', 'and headache', 'and resources', 'and pleasure', 'someone money', 'pleasure maybe']","['Hoping to saving someone money and a headache.', 'Cuz I just have money laying around for this.', 'They cost a little more upfront but are so worth it.']"
35,34,13,34_worst printer_worst_hate_ever,"worst printer, hate","['worst printer', 'worst', 'hate', 'ever', 'the worst', 'ever owned', 'printer', 'have ever', 'literally', 'one of']","['I hate that all the new expensive printers these days have the paper sticking up from the back open to the elements.', 'Worst printer I have ever owned or used.', 'This is the worst printer I have ever owned.']"
36,35,12,35_cartridge_low_new_ink,low cartridge,"['cartridge', 'low', 'new', 'ink', 'cartridges', 'was low', 'the new', 'of them', 'that the', 'had']","['I had to buy the black ink one month after purchase, and a few days later now i noticed all the other ink cartridges are low as well.', ""I had to order new ink, which was NOT automatically shipped when the ink was low, wait until it arrived, and then discovered that the printer still didn't work."", ""On top of that, the 'new' cartridges came nearly empty and I had to replace all of them after about 10 small print jobs.""]"
37,36,12,36_more features_wanted_and needed_needed,wanted features,"['more features', 'wanted', 'and needed', 'needed', 'home', 'and', 'printer with', 'features', 'printer', 'work']","['I have started at the small notary business and don’t have the money for one of the higher and laser printers just yet.', 'My husband and I work from home and needed an inexpensive printer that had multiple functions and printed high quality.', ""The overhanded big brother approach was very unnerving with constant connectivity required.I just wanted a printer/scanner/copier that I could use for kids school work and home office work without a company keeping tabs on the number of pages I'm printing or the kind of ink I use - and continuously charging my account.""]"
38,37,11,37_with apple_my phone_phone_apple,Apple users,"['with apple', 'my phone', 'phone', 'apple', 'my', 'air print', 'recognized it', 'automatically recognized', 'air', 'recognized']","['Works ok with Apple Ipad and Iphone11 (air print) which was my original intention.', 'I am extremely disappointed by this as this is a great printer with good, updated technology, so now I will have to restart the process for finding a printer that works with Apple products…', 'After doing that, my phone automatically recognized it through air print on iPhone and my Mac automatically recognized it when going to printers and pressing add printer.']"
39,38,11,38_envelopes_printing envelopes_word_printing,printing envelopes,"['envelopes', 'printing envelopes', 'word', 'printing', 'within word', 'word for', 'of envelopes', 'with', 'print on', 'hp customer']","['Otherwise, you are going to have to push really hard with your finger.But, the one thing that was very frustrating for me was printing envelopes within Word.', 'If you experience problems with printing envelopes I would recommend contacting HP customer service  I do want to say I had contact with 2 HP customer service reps. & both were very congenial to work with me.', 'When printing envelopes the lettering was wavy & not clear which made for hard recognition of some letters and I even modified the paper size for the envelope size so that is not the reason for the poor print quality on envelopes.']"
40,39,10,39_that he_he_said that_this was,customer service problems,"['that he', 'he', 'said that', 'this was', 'said', 'printer', 'just', 'that', 'carefully pick', 'case with']","[""He also said that he couldn't fix the printer without it."", 'We had to carefully pick and choose what devices get to print and which ones don’t.', 'Just so you know this was the case with most of the printers I looked at by a number of different makers.']"
