,stars,title,content
10,1,Good replacement printer,"I am very pleased with this printer. I did a lot of research to pick a new printer and the reviews about the ink program was concerning.  As I was researching, I found most printers have the same program. I have always had an HP printer but still looked at others due to the ink programs that most people did not like. I received the printer the day after ordering and found it easy to set up. I did not have any issues with the initial ink cartridges and printing and did not sign up for the ink program. I did some printing and did not have any issues like some people stated with it not printing due to the ink program. It's definitely lighter than my last HP printer but that is not a concern for me as long as it performs. I would recommend this printer.Updated 6/29/24After having this printer for some time, I am now having buyers regret. It is not made as well as my last HP and I continuously have issues with it. Also if you don’t print a lot the ink gets dry and you have to run the alignment program numerous times. Never had to do this with my last one. Also,  don’t like always having to go to the app or my laptop when I do a scan instead of saving to a thumb drive. It is also very inconsistent with the printing. I do not recommend this printer."
11,1,One star because 0 was not an option. Under NO Circumstances purchase the HP Instant Ink Plan!!!,It is a scam designed to hold you hostage paying a subscription fee every month.  I cancelled the plan after a year and began getting error messages saying the ink cartridges were not recognized (even though HP sent them to me) and the only way to get the printer to work again is to resubscribe or go purchase new cartridges.  Get an Epson.
12,1,DO NOT BUY THIS PRINTER,"I usually don't write a bad review unless the product is just terrible in every way possible, and so it is with tis printer. Looks like a high class printer, but functions like a piece of junk. If it is on wireless and is not used after a certain time, then it will drop off. You will have to power reset the printer for it to reconnect.Secondly the paper tray is a design flaw even though HP will say it's not. In the picture, the top tray is from the 8015e and the bottom tray is from an HP Envy. You'll notice the top tray doesn't have a backstop or tab for 8.5x11 paper. So if you insert the paper tray, you have to insert it rather slowly or the paper will slide back in the tray and the rollers will not pick up the paper. Even then, sometimes it will pick more than 1 sheet at a time or the paper jams or it just has trouble picking up the paper.. Print quality is good and the paper scanner works good......I learned you don't have to power reset it for it to reconnect to the wifi. However you still have to press the power button. Almost like it goes into some sort of sleep mode."
13,1,Junk,"I’ve had this printer for less than a year, using it a few times a week, and it’s going in the trash tonight. It’s been wonky since set up. It’s ALWAYS disconnected from WiFi and it’s such a pain to constantly reconnect it. Now the HP app is telling me that the printer is not set up and won’t print. I went through all of the troubleshooting, reinstalled the drivers, etc and nothing fixed the issue. It will say “ready” and then as soon as I hit print it’s back to “setup incomplete”. It’s not worth the headache. I ordered a $75 Brother instead and it’s been much better already. Don’t waste your money."
14,1,Worst company ever,At first I had an instant ink account but I was wasting pages so I cancelled . They only rollover a certain number of pages and if you dont use them they are gone.  This company need to let people know that if they cancel Instant Ink and even though you are using original HP ink then the printer still will not work.
15,1,If you want the ability to scan DON’T buy,"This printer function works great, however if you have a Mac you have to do your scanning from the HP app.  This would be fine if it worked, but instead it worked the first time and after that no matter what I do ( resetting the printer:scanner, deleting and setting up again, etc..). It will not scan from the document feeder.  If you want o be able to scan more than one page at a time, do t waste your time with this product."
16,1,AirPrint didn’t really work,"I purchased this printer to replace an older HP printer solely to serve as an “AirPrint” printer. The print was very slow, approximately 2pg in 3.5minutes, and 30sec into the job it would generate an error popup that would lockup the iPad or iPhone. The older HP would AirPrint the same document in less than 15sec with no issues. I spent hours with HP support, who finally insisted it was an Apple issue…even though my other HP printer would AirPrint fine. After years of purchasing HP products, I couldn’t believe how they were blaming apple when it clearly wasn’t an apple issue. Before tossing a 1mo old printer in the dumpster, I noticed a “cold reset” function in the menu and tried it. VOILA, it works correctly now.Thank You HP for wasting hours of my time, blaming apple for your product failure, and leaving me on the hook for a brand new printer that wouldn’t work. Last HP product our family will ever purchase!!!"
17,1,Scanner?,"What a piece of junk, printer connects but the scanner doesn't! Spent a day trying to connect using their on line links but nothing worked. The Canon I replaced works better . Like most of these mfg's there's no longer a live body to talk to. The on line chat was useless as well. I've used nothing but HP laptops for as long as I can remember and have always had good luck. Truth in savagery, it's entirely possible I did something wrong during the installation, but was never able to get it right."
18,1,Lasted less than a year: Warning Subscription cartridges will on work with active subscription,"I wanted to like it and actually enjoyed the cartridge subscription, but when we changed internet providers, we never could get it reconnected to the internet, so it would not print because it couldn't synch up with the subscription. I canceled the subscription and was told I would have to buy non-subscription cartridges even though I had plenty of ink left in the subscription ones. Still could not get it to connect with our printers, and it doesn't have a direct USB to bypass connection issues.  I'm now replacing it with a different brand."
19,1,Replacement Ink,Bought this printer and it came with a subscription to get ink sent to when it read low… long story short… you get ink cheaper but they want to charge to print after only 10 pages. Ordered ink that fits through another company that was budget friendly but HP can detect copy cats and rejects it. Way too invasive for me. Ridiculous
20,1,Do not buy!  Disconnects every time power fluctuates.  Will not print.,"At first, I liked this printer.  It seemed to work well for scanning and occasional color printing which is what I use it for.  Then the power went out during a storm.  I had to uninstall and reinstall everything to get it to work.  A month later, the power went out again.  I tried to uninstall/reinstall and the printer just keeps saying that it needs me to finish the setup.  But there doesn't seem to be any way to do this.  I cannot recommend this item."
21,1,After 1 year,This product has completely failed. Won't connect to multiple devices.Like a phone or a computer.Keeps telling me HP needs to finish with set up but unfortunately HP smart ap won't recognize the printer. Even if the computer itself says it's available.Longevity sucks. We have chosen to try a different brand. After using only HP printers for the last 10yrs.
22,1,HP will do everything to squeeze money from you,"MASSIVE BUYER BEWARE!!! I cancelled my subscription to their 'service' because I didn't want to have to literally count how many items I was printing each month. No joke, if you select a certain plan under them and print over it, it'll cost you more money to use your own printer. The ink cartridges I purchased after cancelling are now being labeled as counterfeit by my printer and it's refusing to print. Do not buy this printer. I'll be purchasing a new printer shortly and will NEVER go with HP again."
23,1,You never stop paying!,"If you don't print much this printer is not for you because you have to have a monthly subscription for paper. And I am so tired of having to reconnect the printer to the network!!! When I need to print, I can't print and have to go through too many steps to get it working again. I DO NOT RECOMMEND THIS PRINTER"
24,1,"Price Trap, horrible product","Plain and simple, if you don't use the ink it dries up.  If you use the ink you are not permitted to buy third-party ink to replace it, meaning HP will charge you up to $180 to get a full set of ink (XL at Staples).HP requires you to connect to them even if you simply want to scan to computer, the class action suit against them is warranted.  I will be giving this printer away and buying something from Brother."
25,1,Printhead issue,Printhead issue only 4 months after purchasing. I used HP ink and regular print paper. I have never owned a printer that has stopped working in under a year. The printhead is malfunctioning just four months after purchase. I used HP ink and standard print paper. This is the first time I've had a printer stop working in under a year.
26,1,Terrible experience - avoid this one,"We purchased this particular model to replace a very similar HP printer we had purchased from Costco years ago. The original one from Costco worked great for many years. This one from amazon on the other hand has been nothing but a constant let down. It constantly goes offline, requires endless interaction with the HP printer app, can’t get it to scan, having nothing but hassles and headaches. It won’t even reboot easily. If I could give this 0 stars, it would still be too generous."
27,1,DONT WASTE YOUR MONEY!,We bought this printer to replace one that died. We bought it Sept 2024 and by Dec 2024 it has 100% stopped working! Amazon will now take it back and directs me to HP. HP basically tells me too bad and keeps passing me around like a hot potato. Our office has ALWAYS used HP products. Not after this BS.:-(
28,1,Paper Tray Keeps miss feeding causing jams,"Purchased this printer to use for my boys homeschooling. Set up was ok. Printed test page.. after that.. NOTHING printed. NOTHING. Every single time.. paper jam, ""please check printer and remove jam"" over and over and over.. I cleared the jams ever single time.. and the next sheet would jam. Tried different paper, same result. This is absolute garbage."
29,1,Zero stars???,"horrible to connect to laptop or phone.  every time i try to print i get a popup that says i'm not connected then seconds later it prints.  every time i try to use the buttons on the machine itself says i need to use the app on the laptop.  when i tried to hook my laptop and phone to it says i need to agree to a bunch of stuff i won't agree to or the machine won't work.  made me open an account with hp just to scan then it only lets me scan using the app on the laptop instead of the stupid button ON THE PRINTER!!!!  omfg.  I HATE HP!!!  RETURNING!  WASTE OF SHIPPING, PRINTER AND ALL THE EXTRA INK I BOUGHT!!!!"
30,1,NOT WORTH Instaink charges.  Second review.,"So here I am 8 months later, and the printer is still not worth the instant ink charges.  Just so you know that in the last 8 months, I had to replace the yellow cartridge from the initial cartridges which are not full cartridges. I paid a total of $45.22 for my insta ink account. Why I only have 4 rollover pages in 8 moths, I don't know? .  HP graciously allowed me to change my plan to10 pages a month.  Most of my printing is to PDF so that I have a copy. Today, I need to print a couple of pages for tax purposes. I printed 14 pages in the last 5 days.  I have exceeded my monthly allotment of 10 pages plus 4 rollover pages, so my printer won't work. Instead of offering an additional charge.  I could not print anything until HP received my next monthly charge.This printer has probably less than 100 pages total in the last 8 months.  I will throw it in the trash because I can't use it when I need it.Just for the record, I have used HP printers exclusively for over 20 years.  I ordered a Cannon printer today. Cannon has basically the same service, but it uses Alexa to notify you and order a new cartridge.  You pay for what you receive."
31,1,Not easy setup,"Don't believe the claim that this printer (HP Office Jet 8015e) has easy setup.  I find it hard to believe this is the best selling printer based upon my 5 hrs of reading and searching just to get the printer to be able to print a page.  I suspect my poor setup experience stems from the fact that I waited more than 2 hrs after doing the print alignment until I began to ATTEMPT to install the HP software.  During research to figure out why the printer could not be found by Windows 10, I ran across a note about a 2 hr timer and the need to reset wi-fi setup mode.  The documentation simply doesn't give you valid instructions. It is generic instructions that instruct you to press buttons that the 8015e does not even have.  I finally got it to enter into into wi-fi setup mode (but I don't know how I did it).  The print quality is good (based on the three pages I printed so far).  But the setup compares to a 1000 piece puzzle.  Obviously many people have good luck with the setup, but I was surely not one of the lucky ones."
32,1,No vale la pena,La tinta no la use ni un mes y no sirvió. Y elCosto de la tinta es casi igual al valor de la impresora. Lamentablemente yo no la abrí en cuanto la compré y cuando la usé ya había pasado el tiempo de devolución pero no gasten su dinero en esto.
33,1,Warning - DO NOT BUY,"Be prepared to be ripped off if you buy this.  Piece of garbage constantly disconnects from wifi even if it connects at all. I have tried on two different computers and my phone.  I am not exaggerating at all - literally every day and various times through the day had to unplug, restart, etc.  Maybe it would connect for 5 minutes tops.  Then all over again.  I don't think this is an accident. I purchased for business use and it has been a flat out nightmare.  Hoping to saving someone money and a headache."
34,1,Awful intrusive setup,"The software to set this scanner/printer up is awful. It requires you to install a bunch of software to access the scanner capabilities.Secondary, you have to create an HP account to use it.Then, it toggles back and forth to a browser, then the HP smart app. This printer will make you not ever want to purchase an HP printer again.Then after you sign into your account and install the Smart App, you have to log in yet again when you want to scan something.Overall, it took an hour to install and get it running."
35,1,Dysfunctional,"Worst printer ever! Makes you download an app, disconnects from devices frequently for no apparent reason, now this message- the print cartridges are not communicating correctly?! WTH?! It’s a huge pain. Don’t buy it! I’ve have had this for half a year and I’d throw it away at this point."
36,1,Never again,"I will never buy another HP printer for the rest of my life.It seemed to perform well at the outset, but just two days ago, the black print quickly faded.It TOLD me I had ample black ink. That was most certainly untrue. I decided to replace the ink.I replaced the cartridge just in case. It told me my ink had been updated. Then it told me I had no ink, then it told me I had a new ink cartridge.HP used to be exemplary. Now, it's cr*p. I won't make this mistake again. It seems to depend on consumers who think problems are their fault, and might want to throw good money after bad."
37,1,"Cartrides came nearly empty, takes forever to print","This pinter takes about 10 minutes to print after submitting the print job, even after multiple updates. On top of that, the 'new' cartridges came nearly empty and I had to replace all of them after about 10 small print jobs. Waste of time and money, avoid this printer."
38,1,The connectivity problems are true! Hours of setup work to print a few pages.,"The printer takes an extremely long time to get set up. I finally got it to print after messing with it on and off for a few days! After that it sat for about a week while I was on a business trip. Now I am back from the trip and needed to print a BOL while a driver is standing there waiting for me. It said it had a poor WiFi connection. (It has perfect WiFi signal) It would not do anything so i shut it off and turned it back on, Well it then decided to reset itself so it needed to be setup once again. After messing with it for 45 min I gave up and had the driver leave. Right now I have going on 3 hours trying to get it to print and have only gotten it to print about 10 pages. Total JUNK!"
39,1,Customer Service is Terrible,"The printer arrived and I followed all the steps for setup.  The tech called me to help me troubleshoot why the printer wouldn't work (I'm pretty computer savvy, so this should have been easy).  After remoting into my computer, the tech informed me that it was a firewall problem (which it isn't) and tried to sell me a $350 firewall package.  He also said that he couldn't fix the printer without it.  I declined and he became very insistent.  Minutes after I hung up with him, another tech supervisor calls me and tries to sell me the same package.  Then tells me they can fix the problem (that they said couldn't be fixed) for just a one time fee of $90.  Needless to say, I am absolutely furious with HP and will be returning their printer.  Never going to buy one again."
40,1,TRASH. Do Not Buy. Find something non HP!,This is a piece of crap. HP locked it down with so many security settings it’s unusable. HP is also now trying to monopolize ink. I put the XL cartridge in there and it has locked down the device saying it won’t print unless I put the same stock type in. It was the shortest life ink cartridge ever. Less than 200 copies before 3 of the four cartridges were out of ink.
41,1,Return & refund requested,"Printer display is stuck on ""HP cartridges must be enrolled in HP Instant Ink"" which we have done.  We would like to return this printer and get a refund.  Please advise asap it will not print.Also send us a return shipping label.  We cannot fix it.  Thanks"
42,1,It works ... ish,"Update 8/2The first printer was faulty. Contacted HP and they immediately sent a replacement. The replacement doesn't work either. It took over 2 hours to finally get my computer to recognize the new printer. I had to factory reset it over 5 times, and go through the whole process. Then, I got once I got it connect, the printer remained ""offline"". Literally one of the worst printers.This printer is probably one of theeee most irritating printers. When it works, it works.... slowly, but it works. It gets disconnected from the internet a lot, therefore when you want to print a page it takes like 10-15 minutes to get it back online and to start printing. It takes a bit for things to print. It's a bit on the slow side of printing. But, when it prints, it is clear and prints nicely."
43,1,Terrible,"Literally the worst printer you could find. There is always a problem with it that requires a lot of time to figure out. I have always had problems with it connecting to a computer, printing correctly, and just overall never working properly. Do not buy this printer."
44,1,Error message,"I have had this printer for about 6 weeks. It was working fine, but it does use a lot of ink. Out of the blue I get an error message and now can't print anything. I did some research and learned that this is a chronic problem with this model. I have tried uninstalling and reinstalling drivers to no avail. I am outside the return window and beyond frustrated."
45,1,Beware of HP Plus for Printers,"I got this printer because people always claimed HP had the best printers.  It works ok but the time it takes to print the first page is terrible  I think it was around 1 and a half.  Inkjets don't have to warm up so not sure what all it was doing.  It makes a lot of noise and stuff moves around a good bit before it ever prints.  But the worst part of HP Plus for Printers.  It tells you of all the great features but it is easy to overlook the one part where it tells you that turning it on only allows you to use HP cartridges.  If you turn it on by mistake or if you have automatic updates and it gets installed, there is no going back.  The XL cartridges are like $150 vs non which are around $30 to $40.Anyway, I got rid of mine after the starter ink ran out and got an Epson.  It is a better printer and it has refillable tanks.  They cost a little more upfront but are so worth it."
46,1,The worst user experience of any product I’ve ever owned,"I cannot believe how bad this printer is, and much less that a company of this size allows such a product to ship. Constant connection issues, takes seemingly 10min to print one page, requires an account and an app to work. Just a miserable experience."
47,1,Printer Problems,"Bought this printer on June 1, 2023 - March 1, 2024 so I had this printer 7 months. Nothing but touble. WiFi did not work right, printer would spool and clean heads for 5 - 6 minutes for each print job, this spooling/cleaning used up the printer ink cartridges after 4 print jobs, the complicated task of faxing made it useless, placed a new HP ink cartridge and error code ""foreign cartridge"" rendered the printer useless. Paid $100 for this printer when I could have gone to the library and printed 1000 sheets paper at 10 cents each. Plus $50 for 2 new ink cartridges equales another 1000 sheets of print. Use of the library fax is only 25 cents. This was a huge waste of money for a printer that was nothing but troubles entire 7 months.I will never buy another HP printer. Seems like HP rolls out multiple printer models each year. Sone have a short life while others have a long life. Some of these models may perform well and others do not perform, hold up or meet consumer expectations. This model is a waste of money, effort and patience. Buy anything but this model printer."
48,1,It is a huge scam.,"I am disappointed. We received and connected the printer. During the connection process, the prompts took us to activate a subscription without proper notice and in a very misleading manner. After three weeks or less, we began to receive paper and ink, only to discover that the Company had been tracking our usage of both items. Hence, the Company was billing us for paper and ink according to how much or how little we used both items. We called the Company and found out about the ""deal,"" which, in my opinion, is a misleading scam. Hence, we canceled. Now, I am ""trapped"" with ink cartridges that I was misled to pay for, and I cannot use them because those cartridges require an ink subscription. In other words, we inadvertently paid for services and products we cannot use. Money doesn't fall from a tree, and HP should know better. I am so upset and disappointed. I believe it is misleading, a scam, and a fraud. Please do not fall for it."
49,1,Go printers,I have had nothing but problems with this printer HP where always my favorite but now they are just not very good or versatileYou can only use there more expensive printer ink won’t stay connected or update very easy have to use there app and still wants to be a pain in butt.Worst printer I’ve owned and hp products have gotten so difficult and non versatile.
50,2,Ink is expensive,You run out of ink You got to take out a loan just to buy it.
51,2,No automatic double-sided scanning,"I am shocked that a printer/scanner in 2024 doesn’t do double-sided scanning automatically. To scan on both sides, you have to reload the documents and scan them again. Apparently the HP app will out the docs in order for you."
52,2,Junk,Had this printer a little over a year and it is no good.  I have tried uninstalling and reinstalling and still does not work.  Just spins and spins and does nothing will not buy it again.
53,2,"DOES NOT SCAN PROPERLY, PAPER JAMS AND DOESNT SCAN IN PDF","DOES NOT SCAN PROPERLY, PAPER JAMS AND DOESNT SCAN IN PDF"
54,2,Scam 'Free Ink',WARNING!! The printer is good. The 'free ink' promo is bogus. The price of new ink is based on the pages used not on the volume of ink used. HP controls when and how you purchase ink.Any ink you received as part of the original purchase  is rendered incompatible with the machine if you purchase/buy any new ink by any means other than the scheme rules of HP. I don't use much color ink. If I purchase a new black cartridge and install it. HP will send a notification that  the color ink cartridges in the machine are empty (incompatable with the printer) and force you to buy new ink cartridges.
55,2,No ink included in box!,"Bought on Prime day. States that ink is included in the box. It is not. This was supposed to be a NEW purchase, not refurbished"
56,2,Almost never works,"I’ve had lots of other HP printers and have generally not had many problems. However, this one always seems to disconnect from the network and I’ve had to restore factory defaults numerous times to make it connect to HP’s software, which is the only way to use it for scanning. I have had this printer for about 8 months and have had to reset at least 3 times. All the other printers worked fine and never required reconnecting multiple times. The aggravation of this printer lets me know I will not buy another HP printer no matter how good a deal it is."
57,2,Not worth the cost. The ink contsantly needs replacing.,"It is bulky, often the print quality is poor. Even after doing maintenance on the printer heads, which takes up a lot of ink, the printer is a disappointment. Once this machine dries out of my last ink replacement, it is going to the dump and I will find a better printer. I am a life long HP printer owner, but never will get this 8015e again."
58,2,Did I get a lemon?,"Bought this from Amazon/Office Depot. Had nothing but issues since. First it wouldn't communicate well with my PC - on and off whether it would or not. Next every scan page was 1 degree off being straight. Now it is jamming papers. I have looked inside to see if I can see anything on the pathway, but don't see anything. I have an annual tech support contract with HP that has been good, but I can't afford  time to keep putting up with these issues. I used to be an HP man, but I'm thinking differently."
59,2,Good… when it actually is working,"I’ve had nothing but issues with this printer since literally day one. First thing was it wasn’t registering that the paper tray was closed (even though it was), then stopped connecting to my internet and wouldn’t reset, numerous print head errors, and now, only blue is printing when all cartridges are full. Now I’m wasting a ton of ink cleaning and printing test pages. Stay away!"
60,2,"Error scanning, no USB","Occasionally the printer will stop working for no reason if you are not scanning with HP Smart... if you use Windows scan you will get the error attached to this review... also this is only a WIFI printer, no USB connection..."
61,2,Don’t get tricked,The printer is ok but don’t do the ink through HP! They will stop you from printing if they send you ink for a higher price and try use it after you cancelled program but paid for the ink! How they even monitor it is spooky! It does not connect to wifi most of the time creating lot of stress when need to print something for work
62,2,Not a good HP printer,"I have always had HP printers.  In fact, gave my old one to a friend who is still using it in her business.  I bought this for $200 on Amazon Prime Day 2023.  It is noisy.  Doesn't work well.  Hard to interface with my MAC.  I don't recommend this printer."
63,2,what to do  now that my printer no longer prints color,I bought this printer 3 months ago and the ink has already dried up. PLEASE. tell me what rtf do??? I thought this printer would last much longer for my occasional printing.  Please advise???????
64,2,Atrocious setup,"As someone else said, this thing is a pill to set up. I've set up many devices before, but this one. There are all sorts of instructions that it does not tell you. For example, for a device which may require the WPS of the unit, it only briefly comes up when trying to connect. It doesn't stay up for long. Basically, have the screen facing you to see brief items that pop up, like it asking if you want the printer to connect to your device. I had to watch tutorials in order to do it.Also, they do require you to use their app to use the wireless functionality. I would suggest going with Brother or something else. I won't buy another HP because of these issues."
65,2,Not worth the hassle.,"This machine really struggles just to do basic printing. Load, lot's of updates, disconnects from internet, and being forced to use the app for lot's of things is frustrating. No usb port is a major drawback. Spend more money and get a decent printer. Sounds like it'll break down anytime."
66,2,Always OFFLINE! Do not Recommend,I do not recommend this printer. I have decided to return. I always buy HP but this is the worst! It is always offline. I have to restart it each time I want to print. I have tried everything.  It is very wasteful of my time.
67,2,Programming (6 months free ink) Read this 1st.,"Be careful with HP Printers. I recently purchased this printer and was excited about the free ink for 6 months. In order to receive the ink you have to sign up with the online services. They monitor every page you print. If you don’t print you don’t receive any ink. If you do print and go over the page limit they charge you per 10 pages.Also, HP is not compatible with any other refillable ink. You have to purchase their expensive ink if you run out. I would have rather bought a Canon printer."
68,2,Returned.  Hate HP proprietary cartridges.,Liked the speed and print quality.  Have been a satisfied longtime HP user.  But… if you refill or install a third party cartridge the printer locks up when it recognizes a non HP cartridge. I’m told there might be a workaround but I decided to return.  I wish I had been warned before I purchased.  So frustrating!  For $30 more I bought Epson Eco Tank printer.
69,2,Not a very goodall-in-one,"The scanner is the most frustrating part of this printer. I'd say that it jams 50% of the time when I am scanning multiple pages from the document feeder. The printing itself works fine once the printer actually starts printing but the time it takes to ""queue"" up or whatever the printer is doing when making tons of noise is about 1 minute per print job."
70,2,Pulls Multiple pages when printing,Every single time I print something it pulls multiple pages and prints across 3 or 4 pages.
71,2,Don't buy this if you run a Linux operating system,"I bought this particular printer because they offered free ink for 6 months.  BUT  that is only if you have Windows or Apple.  They do not support Linux operating systems.  If I had seen the fine print, I would have gotten something else.  Since I am at least a little computer literate, I was able to get it to work, but there will be no free ink and no support.  Bah Humbug and Merry Christmas to you too HP"
72,2,Stopped working after 7 months,"The printer stopped working after 7 months of very light use. I tried all troubleshooting steps and when I ran diagnostics it told me there are no issues with the printer but that is not the case.I may not use it often but when I need or my kids do for school, I need it to function. Extremely disapppointed."
73,2,"No fax, not a simple set up","Key features (scan & fax) we’re locked out by “installer”…which translates to “the factory”Have set up countless printers in my years, but this one was the most frustrating, not because of complex processes, but because of limitations on what the printer would/could do. The auto setup feature basically firewalled every function except basic printing. Downloaded the latest HP app and all it wanted to do was get me to subscribe to HP+…Maybe time to try a different brand of printer??!!"
74,2,"hard to install, print speed is slow","I had to download an app to install the printer.  However, the app could not locate the printer !!Too bad HP had turned off manual install from printer it self.So I had to tun printer on/off many times to get the install going.  and every time the printer comes on it want to print an alignment page and scan something which a waste of ink, paper and time.finally managed to install with printer showing as some other model!!! print speed was slow."
75,2,It Works....,"Overall, it's a printer. Not great though. It prints fine, but there are things that arent as nice as the $50 HP  all-in-one that I had previously. It takes forever to start printing (appr. 2-3 minutes). The touch screen is ok, but doesn't keep the settings if it loses power. You have to reprogram your wifi into it, which is a pain. If you need a printer, this is ok. I would recommend spending a few more dollars and get something really nice."
76,2,Worked Only A Few Times,"I had it for a year now, and it worked a few times but has recently stopped working. It won't find the papers, so it won't ""grab"" to print and when canceled, it won't stop trying to print so it wastes ink. Is it too late to ask for a refund or something lmao is mine defective?"
77,2,HP Ink for life,The e Series locks you into only HP Ink. You'll be paying the highest cost in the marketplace for ink. The Black XL cartridge is 50% of what I paid for eh printer.
78,2,was good when it worked,worked well for 3 months than when I got new ink it still worked but one day it decided the ink was not original and stopped working  with no warning .looses the WIFI and I had to set it up all over again . and the horrible customer service where people barley speaking English which makes it hard to explain and understand .  basically look for different brand .
79,2,Very hard to set up,"What happened to the days when you just plugged it in, loaded the software and it worked. Sent it back because it would not print from more than one computer despite 2 days on the phone with tech support. Bought a 9020. Same problems. I hate these printers. I waste so much time just trying to get things to print. Hardwired to one of my computers and still have issues."
80,2,CUMBERSOME SETUP - Avoid,"As others have stated, this  thing wants you to sign up for so many online services - it WILL NOT work without an internet connection, so sorry if you just wanted a printer.  Big, ugly, cheap looking and working.  The insane amount of setup of services you don't want or need is an absolute deal killer.  I should have read the reviews.  If you want something that just works, this is not for you.  If you want to sign up for no less then three different accounts to get full functionality -  then this is the printer for you.  Garbage."
